date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:20	78990/78990	---MCZ	200	added ('OK')	text/html	etag:%223207-1736837722;gz%22	https://chilltate.fun/	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/index.html	(from )
22:42:20	109/109	---M-Z	200	added ('OK')	text/plain	etag:%223206-1736837418;gz%22	https://chilltate.fun/robots.txt		(from )
22:42:20	4990/4990	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202025%2006:42:20%20GMT	https://use.typekit.net/xmq4ukd.css	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/use.typekit.net/xmq4ukd.css	(from https://chilltate.fun/)
22:42:20	1830/1830	---MCZ	200	added ('OK')	application/rss+xml	etag:%22faaca8361a308b297095d3cda6afdd5c%22	https://chilltate.fun/feed/	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/feed/index.html	(from https://chilltate.fun/)
22:42:20	1616/1616	---M-Z	200	added ('OK')	application/rss+xml	etag:%22faaca8361a308b297095d3cda6afdd5c%22	https://chilltate.fun/comments/feed/	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/comments/feed/index.html	(from https://chilltate.fun/)
22:42:21	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-674989ba-9bdc0e1acc0d822c;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/themes/hello-elementor/style.minb12b.css	(from https://chilltate.fun/)
22:42:21	5146/5146	---M-Z	200	added ('OK')	text/css	etag:%22141a-674989ba-76d7109350506913;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://chilltate.fun/)
22:42:22	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-674989ba-2fe42e7496b75bcc;gz%22	https://chilltate.fun/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://chilltate.fun/)
22:42:22	60689/60689	---M-Z	200	added ('OK')	text/css	etag:%22ed11-67811673-d6dd548b9e3951d4;gz%22	https://chilltate.fun/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1736513139	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/uploads/elementor/css/custom-frontend.min3726.css	(from https://chilltate.fun/)
22:42:23	2258/2258	---M-Z	200	added ('OK')	text/css	etag:%228d2-67811673-14e6a53dffb3d05c;gz%22	https://chilltate.fun/wp-content/uploads/elementor/css/post-9.css?ver=1736513139	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/uploads/elementor/css/post-93726.css	(from https://chilltate.fun/)
22:42:23	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-6749dd64-e4b9b4125b086e8f;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://chilltate.fun/)
22:42:24	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-6749dd64-783bbf2a26df082c;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min18be.css	(from https://chilltate.fun/)
22:42:24	974/974	---M-Z	200	added ('OK')	text/css	etag:%223ce-6749dd03-3b5c8ee75bbeb2;gz%22	https://chilltate.fun/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min.css?ver=3.25.4	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor-pro/assets/css/conditionals/popup.min401f.css	(from https://chilltate.fun/)
22:42:24	318/318	---M-Z	200	added ('OK')	text/css	etag:%2213e-6749dd64-10f8c0fbb4b056af;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min18be.css	(from https://chilltate.fun/)
22:42:25	264/264	---M--	200	added ('OK')	text/css	etag:%22108-6749dd64-62c52a1830157ae2;;;%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min18be.css	(from https://chilltate.fun/)
22:42:25	330/330	---M-Z	200	added ('OK')	text/css	etag:%2214a-6749dd64-3c4dc94bb31d2305;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInDown.min18be.css	(from https://chilltate.fun/)
22:42:26	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-6749dd64-a0115c2eb5e06baf;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/widget-heading.min18be.css	(from https://chilltate.fun/)
22:42:26	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-6749dd64-5f5f338b967bf651;;;%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/widget-image.min18be.css	(from https://chilltate.fun/)
22:42:27	547/547	---M-Z	200	added ('OK')	text/css	etag:%22223-6749dd03-1dd24d2152ec5971;gz%22	https://chilltate.fun/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css?ver=3.25.4	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min401f.css	(from https://chilltate.fun/)
22:42:27	340/340	---M-Z	200	added ('OK')	text/css	etag:%22154-6749dd64-bc824f8dcc9ade13;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min18be.css	(from https://chilltate.fun/)
22:42:28	330/330	---M-Z	200	added ('OK')	text/css	etag:%2214a-6749dd64-92648e914b84fb7a;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.min18be.css	(from https://chilltate.fun/)
22:42:28	540/540	---M-Z	200	added ('OK')	text/css	etag:%2221c-6749dd64-f49300f46721cf3e;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/widget-image-carousel.min18be.css	(from https://chilltate.fun/)
22:42:29	645/645	---M-Z	200	added ('OK')	text/css	etag:%22285-6749dd64-a15e36b135ee6fcf;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/conditionals/shapes.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/conditionals/shapes.min18be.css	(from https://chilltate.fun/)
22:42:29	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-6749dd64-66bf37e785e5cb4b;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/css/widget-text-editor.min18be.css	(from https://chilltate.fun/)
22:42:30	335/335	---M-Z	200	added ('OK')	text/css	etag:%2214f-6749dd64-18585c4ca3e17034;gz%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min18be.css	(from https://chilltate.fun/)
22:42:30	137/137	---M--	200	added ('OK')	text/css	etag:%2289-6749dd64-4494287e77a9cd2e;;;%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min18be.css	(from https://chilltate.fun/)
22:42:31	130/130	---M--	200	added ('OK')	text/css	etag:%2282-6749dd64-11e4da5f880243d8;;;%22	https://chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.25.10	C:/Users/admin/Desktop/My%20Web%20Sites/chilltrump/chilltate.fun/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min18be.css	(from https://chilltate.fun/)
